epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,36.1739,1.32284,1.36112,1.04615,0.90907,0.30281,0.55072,0.34566,1.31027,2.24576,1.04047,0.00127129,0.00127129,0.00127129
43,37.0115,1.46162,1.3697,1.06214,0.90907,0.30281,0.55072,0.34566,1.31027,2.24576,1.04047,0.00129912,0.00129912,0.00129912
44,37.8539,1.42562,1.30393,1.07,0.92822,0.33501,0.53698,0.33549,1.29081,2.16624,1.03173,0.00132681,0.00132681,0.00132681
45,38.6204,1.33844,1.2284,1.05408,0.92822,0.33501,0.53698,0.33549,1.29081,2.16624,1.03173,0.00135438,0.00135438,0.00135438
46,39.4163,1.30204,1.30331,1.06717,0.80851,0.32383,0.55447,0.33375,1.35074,2.13388,1.02825,0.00138181,0.00138181,0.00138181
47,40.221,1.40285,1.34821,1.06547,0.80851,0.32383,0.55447,0.33375,1.35074,2.13388,1.02825,0.00140911,0.00140911,0.00140911
48,41.0956,1.19643,1.48271,1.00465,0.89462,0.31549,0.58049,0.35316,1.37536,2.09189,1.03301,0.00143628,0.00143628,0.00143628
49,41.922,1.36597,1.20962,1.02289,0.89462,0.31549,0.58049,0.35316,1.37536,2.09189,1.03301,0.00146331,0.00146331,0.00146331
50,42.7868,1.33747,1.19697,1.04503,0.93616,0.33096,0.64787,0.40564,1.27055,2.03997,0.99131,0.00149021,0.00149021,0.00149021
51,43.645,1.34719,1.24425,1.10797,0.93616,0.33096,0.64787,0.40564,1.27055,2.03997,0.99131,0.00150197,0.00150197,0.00150197
52,44.4748,1.13312,1.06539,0.97578,0.91433,0.33838,0.65203,0.39831,1.31048,1.96638,1.00198,0.00149867,0.00149867,0.00149867
53,45.2719,1.3186,1.24505,1.06494,0.91433,0.33838,0.65203,0.39831,1.31048,1.96638,1.00198,0.00149537,0.00149537,0.00149537
54,46.1234,1.27071,1.13295,1.00751,0.91574,0.39593,0.70711,0.44216,1.23469,1.91375,0.98547,0.00149207,0.00149207,0.00149207
55,46.9719,1.31798,1.32008,1.06493,0.91574,0.39593,0.70711,0.44216,1.23469,1.91375,0.98547,0.00148876,0.00148876,0.00148876
56,47.8038,1.33861,1.17073,1.02033,0.90872,0.40978,0.74025,0.44649,1.25407,1.9762,0.99463,0.00148546,0.00148546,0.00148546
57,48.5889,1.17267,1.18502,1.05614,0.90872,0.40978,0.74025,0.44649,1.25407,1.9762,0.99463,0.00148216,0.00148216,0.00148216
58,49.3932,1.14765,1.08352,1.00246,0.91964,0.46143,0.75357,0.47064,1.17181,1.95983,0.96927,0.00147886,0.00147886,0.00147886
59,50.1819,1.30654,1.30032,1.05354,0.91964,0.46143,0.75357,0.47064,1.17181,1.95983,0.96927,0.00147556,0.00147556,0.00147556
60,51.0989,1.30981,1.2704,1.09285,0.91369,0.43219,0.72962,0.41795,1.25319,1.95351,0.99038,0.00147226,0.00147226,0.00147226
61,52.0592,1.23839,1.20024,1.01719,0.91369,0.43219,0.72962,0.41795,1.25319,1.95351,0.99038,0.00146896,0.00146896,0.00146896
62,52.8634,1.17684,1.10858,0.99953,0.79746,0.42613,0.71502,0.4199,1.24971,1.97485,0.99569,0.00146566,0.00146566,0.00146566
63,53.6677,1.16635,0.9886,1.01417,0.79746,0.42613,0.71502,0.4199,1.24971,1.97485,0.99569,0.00146236,0.00146236,0.00146236
64,54.5116,1.22496,1.0778,1.00884,0.81276,0.63062,0.76984,0.46814,1.2391,1.65907,0.99186,0.00145906,0.00145906,0.00145906
65,55.2857,1.21222,1.01691,1.03314,0.81276,0.63062,0.76984,0.46814,1.2391,1.65907,0.99186,0.00145576,0.00145576,0.00145576
66,56.0811,1.16327,1.01905,0.95487,0.85426,0.69162,0.79812,0.4728,1.2376,1.35223,0.99094,0.00145246,0.00145246,0.00145246
67,56.9138,1.13968,1.11763,1.00201,0.85426,0.69162,0.79812,0.4728,1.2376,1.35223,0.99094,0.00144916,0.00144916,0.00144916
68,57.7788,1.10871,0.98728,0.94232,0.86601,0.70926,0.80891,0.48372,1.20624,1.24146,0.97072,0.00144586,0.00144586,0.00144586
69,58.5792,1.16544,1.01257,0.96051,0.86601,0.70926,0.80891,0.48372,1.20624,1.24146,0.97072,0.00144256,0.00144256,0.00144256
70,59.4491,1.24729,1.15024,0.95952,0.78109,0.70403,0.79271,0.51263,1.11285,1.26478,0.95617,0.00143925,0.00143925,0.00143925
71,60.2338,1.18571,1.0217,0.97748,0.78109,0.70403,0.79271,0.51263,1.11285,1.26478,0.95617,0.00143595,0.00143595,0.00143595
72,61.0519,1.18506,1.1984,1.0747,0.73213,0.70208,0.78703,0.49306,1.14864,1.33497,0.97184,0.00143265,0.00143265,0.00143265
73,61.8417,1.22658,1.02407,0.96862,0.73213,0.70208,0.78703,0.49306,1.14864,1.33497,0.97184,0.00142935,0.00142935,0.00142935
74,62.6844,1.14572,1.02486,0.95969,0.76439,0.66247,0.76546,0.50777,1.12476,1.29245,0.96692,0.00142605,0.00142605,0.00142605
75,63.4545,1.20094,1.2622,1.03504,0.76439,0.66247,0.76546,0.50777,1.12476,1.29245,0.96692,0.00142275,0.00142275,0.00142275
76,64.2795,1.21914,1.04272,0.9872,0.81157,0.72451,0.81113,0.54022,1.1307,1.19411,0.95603,0.00141945,0.00141945,0.00141945
77,65.1628,1.08628,0.90412,0.90463,0.81157,0.72451,0.81113,0.54022,1.1307,1.19411,0.95603,0.00141615,0.00141615,0.00141615
78,66.0044,1.02715,1.02185,1.00148,0.89968,0.74408,0.85546,0.55558,1.15318,1.07239,0.97396,0.00141285,0.00141285,0.00141285
79,66.8489,1.06819,0.99948,0.96965,0.89968,0.74408,0.85546,0.55558,1.15318,1.07239,0.97396,0.00140955,0.00140955,0.00140955
80,67.6938,1.04479,0.93299,0.96178,0.94278,0.7663,0.85981,0.5685,1.17203,0.99115,0.98984,0.00140625,0.00140625,0.00140625
81,68.4838,1.0966,0.94701,0.97559,0.94278,0.7663,0.85981,0.5685,1.17203,0.99115,0.98984,0.00140295,0.00140295,0.00140295
82,69.3,1.0326,0.94139,0.95882,0.98526,0.77717,0.87837,0.58364,1.10224,0.95143,0.965,0.00139965,0.00139965,0.00139965
83,70.0941,1.18146,1.19137,1.03958,0.98526,0.77717,0.87837,0.58364,1.10224,0.95143,0.965,0.00139635,0.00139635,0.00139635
84,70.9526,0.99624,0.87123,0.95683,0.90102,0.7337,0.87141,0.57644,1.08969,1.02485,0.9477,0.00139305,0.00139305,0.00139305
85,71.7234,1.17003,1.19223,1.08939,0.90102,0.7337,0.87141,0.57644,1.08969,1.02485,0.9477,0.00138974,0.00138974,0.00138974
86,72.5287,1.13649,1.11972,0.98169,0.89124,0.75692,0.85956,0.5414,1.19313,1.22144,0.96868,0.00138644,0.00138644,0.00138644
87,73.3429,1.07004,0.93304,0.95504,0.89124,0.75692,0.85956,0.5414,1.19313,1.22144,0.96868,0.00138314,0.00138314,0.00138314
88,74.2739,1.04639,0.92431,0.93412,0.87144,0.75801,0.82975,0.52461,1.21717,1.238,0.98726,0.00137984,0.00137984,0.00137984
89,75.2076,1.10824,0.91119,0.94857,0.87144,0.75801,0.82975,0.52461,1.21717,1.238,0.98726,0.00137654,0.00137654,0.00137654
90,76.0399,1.03848,0.94406,0.93311,0.86562,0.82119,0.86576,0.57,1.09639,0.99096,0.95575,0.00137324,0.00137324,0.00137324
91,76.9536,1.01382,0.97325,0.92178,0.86562,0.82119,0.86576,0.57,1.09639,0.99096,0.95575,0.00136994,0.00136994,0.00136994
92,77.9126,1.18565,1.006,0.96451,0.88128,0.82532,0.85861,0.57927,1.02592,0.90899,0.92448,0.00136664,0.00136664,0.00136664
